Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;De 20 a 24 años;2009T4;1.729,10
Ambos sexos;Total Nacional;De 20 a 24 años;2009T3;1.820,50
Ambos sexos;Total Nacional;De 20 a 24 años;2009T2;1.787,00
Ambos sexos;Total Nacional;De 20 a 24 años;2009T1;1.812,10
Ambos sexos;Total Nacional;De 20 a 24 años;2008T4;1.876,50
Ambos sexos;Total Nacional;De 20 a 24 años;2008T3;1.951,40
Ambos sexos;Total Nacional;De 20 a 24 años;2008T2;1.878,00
Ambos sexos;Total Nacional;De 20 a 24 años;2008T1;1.847,20
Ambos sexos;Total Nacional;De 20 a 24 años;2007T4;1.879,60
Ambos sexos;Total Nacional;De 20 a 24 años;2007T3;1.963,20
Ambos sexos;Total Nacional;De 20 a 24 años;2007T2;1.886,80
Ambos sexos;Total Nacional;De 20 a 24 años;2007T1;1.874,40
Ambos sexos;Total Nacional;De 20 a 24 años;2006T4;1.916,80
Ambos sexos;Total Nacional;De 20 a 24 años;2006T3;1.970,40
Ambos sexos;Total Nacional;De 20 a 24 años;2006T2;1.942,80
Ambos sexos;Total Nacional;De 20 a 24 años;2006T1;1.935,20
Ambos sexos;Total Nacional;De 20 a 24 años;2005T4;1.955,10
Ambos sexos;Total Nacional;De 20 a 24 años;2005T3;2.022,00
Ambos sexos;Total Nacional;De 20 a 24 años;2005T2;1.974,00
Ambos sexos;Total Nacional;De 20 a 24 años;2005T1;1.961,40
Ambos sexos;Total Nacional;De 20 a 24 años;2004T4;1.907,90
Ambos sexos;Total Nacional;De 20 a 24 años;2004T3;1.972,10
Ambos sexos;Total Nacional;De 20 a 24 años;2004T2;1.936,60
Ambos sexos;Total Nacional;De 20 a 24 años;2004T1;1.930,00
Ambos sexos;Total Nacional;De 20 a 24 años;2003T4;1.944,60
Ambos sexos;Total Nacional;De 20 a 24 años;2003T3;2.009,60
Ambos sexos;Total Nacional;De 20 a 24 años;2003T2;1.947,90
Ambos sexos;Total Nacional;De 20 a 24 años;2003T1;1.944,40
Ambos sexos;Total Nacional;De 20 a 24 años;2002T4;1.954,20
Ambos sexos;Total Nacional;De 20 a 24 años;2002T3;1.998,10
Ambos sexos;Total Nacional;De 20 a 24 años;2002T2;1.954,20
Ambos sexos;Total Nacional;De 20 a 24 años;2002T1;1.941,50
Ambos sexos;Total Nacional;De 25 a 34 años;2023T3;4.644,50
Ambos sexos;Total Nacional;De 25 a 34 años;2023T2;4.631,70
Ambos sexos;Total Nacional;De 25 a 34 años;2023T1;4.559,30
Ambos sexos;Total Nacional;De 25 a 34 años;2022T4;4.499,90
Ambos sexos;Total Nacional;De 25 a 34 años;2022T3;4.490,90
Ambos sexos;Total Nacional;De 25 a 34 años;2022T2;4.480,70
Ambos sexos;Total Nacional;De 25 a 34 años;2022T1;4.467,70
Ambos sexos;Total Nacional;De 25 a 34 años;2021T4;4.465,10
Ambos sexos;Total Nacional;De 25 a 34 años;2021T3;4.505,80
Ambos sexos;Total Nacional;De 25 a 34 años;2021T2;4.516,00
Ambos sexos;Total Nacional;De 25 a 34 años;2021T1;4.464,30
Ambos sexos;Total Nacional;De 25 a 34 años;2020T4;4.542,00
Ambos sexos;Total Nacional;De 25 a 34 años;2020T3;4.478,40
Ambos sexos;Total Nacional;De 25 a 34 años;2020T2;4.260,80
Ambos sexos;Total Nacional;De 25 a 34 años;2020T1;4.508,90
Ambos sexos;Total Nacional;De 25 a 34 años;2019T4;4.567,90
Ambos sexos;Total Nacional;De 25 a 34 años;2019T3;4.560,00
Ambos sexos;Total Nacional;De 25 a 34 años;2019T2;4.570,40
Ambos sexos;Total Nacional;De 25 a 34 años;2019T1;4.548,70
Ambos sexos;Total Nacional;De 25 a 34 años;2018T4;4.578,70
Ambos sexos;Total Nacional;De 25 a 34 años;2018T3;4.591,50
Ambos sexos;Total Nacional;De 25 a 34 años;2018T2;4.609,00
Ambos sexos;Total Nacional;De 25 a 34 años;2018T1;4.593,80
Ambos sexos;Total Nacional;De 25 a 34 años;2017T4;4.637,80
Ambos sexos;Total Nacional;De 25 a 34 años;2017T3;4.645,30
